"I consent to the consent forms (linked below)
Minors: https://docs.google.com/document/d/14w6gp9QchbVqPDLv1psL1NjiErK1QITEKm_ZILVbOvU/edit?usp=sharing
Parental consent form:
https://docs.google.com/document/d/1HsqcdTJtpVB8HqA9XQOMGX9iDxjjG9gf4zE7TLtf0ZQ/edit?usp=sharing
",Sex,Grade,Classes,Sleep,Homework,Freetime,Work,Extracurricular,EnjoymentExtracurricular,Extraversion,Family,Strictness,Friends,Relationship,Loneliness,Happiness,HappinessComparison,CharacterizationHappiness,CharacterizationDepression,Mental Health,SHC
Yes,Male,9,2,8.5,1,7,4,3,6,5,7,6,7,1,7,7,7,7,2,7,5.75
Yes,Female,9,10,8,1,2,0,2,7,6,7,4,7,4,7,1,1,6,2,4,2.5
Yes,Male,9,3,8,2,6,10,7,5,4,5,4,6,1,5,5,5,5,5,5,5
Yes,Male,9,0,7,0,5,3,3,6,4,6,4,5,1,2,6,6,5,5,5,5.5
Yes,Male,12,5,8,1,4,10,10,7,6,7,4,7,1,4,7,5,5,6,6,5.75
Yes,Male,11,10,6,3,3,4,5,5,6,5,3,5,7,5,5,4,4,6,5,4.75
Yes,Male,11,7,6.8,4.5,2,0,7,5,4,6,5,6,1,6,5,5,5,4,5,4.75
Yes,Female,12,5,4,4,2,0,2,5,6,1,1,1,1,1,2,1,1,4,1,2
Yes,Male,12,8,6,2,3,0,3,6,2,5,3,1,1,1,3,1,3,7,2,3.5
Yes,Male,10,5,6,5,3,0,8,7,5,7,6,7,1,6,6,5,5,6,4,5.5
Yes,Male,9,6,4,3,5,0,0,1,1,3,5,1,1,2,5,1,1,3,1,2.5
Yes,Male,12,3,7,2,3,30,4,3,6,1,2,5,6,3,6,7,7,1,4,5.25
Yes,Male,12,3,7,1,4,8,4,7,6,7,5,7,1,4,5,7,5,6,7,5.75
Yes,Female,11,0,5,2,3,0,1,3,2,5,6,3,1,1,2,1,2,1,3,1.5
Yes,Male,10,14,4,4,2,4,2,7,1,1,1,2,1,1,2,1,1,5,3,2.25
Yes,Female,10,0,4,2,7,24,3,3,2,6,4,6,1,4,5,6,2,1,5,3.5
Yes,Female,12,10,8,2,6,15,3,7,7,5,3,6,1,2,6,5,6,2,4,4.75
Yes,Male,12,3,6.5,2,3,2,3,4,2,6,6,4,1,5,6,6,5,7,5,6
Yes,Male,10,1,7,1,7,0,2,6,7,6,7,7,1,5,6,4,5,5,6,5
Yes,Female,12,5,6.5,3.5,2,4,10,6,6,7,5,7,1,6,6,5,6,5,5,5.5
Yes,Male,12,3,7,3,6,5,10,6,4,6,5,6,1,2,5,3,4,4,5,4
Yes,Male,11,3,5,0,5,25,0,4,1,1,2,1,1,1,1,1,1,2,1,1.25
Yes,Female,10,2,7,2,2,1,10,5,4,5,4,5,7,3,3,4,3,5,4,3.75
Yes,Male,12,5,7.5,1,6,12,6,6,5,7,5,6,7,7,6,6,7,5,7,6
Yes,Male,12,6,7,2,5,0,7,6,3,6,6,6,1,5,6,5,5,6,5,5.5
Yes,Male,12,6,4,3,1,8,3,6,5,3,5,7,7,3,4,2,4,1,3,2.75
Yes,Male,12,5,8,5,2.5,8,4,6,4,5,4,6,1,4,5,4,5,5,4,4.75
Yes,Male,12,6,6,2,4,10,3,7,5,4,4,7,7,7,7,6,6,5,6,6
Yes,Male,12,5,7.5,1.5,3.5,9,4,6,5,4,3,4,4,2,3,3,4,4,3,3.5
Yes,Male,12,12,4,6,2,0,15,3,1,2,3,1,1,1,2,2,1,6,3,2.75
Yes,Female,10,1,8,1,2,1,5,3,3,6,3,3,5,3,4,4,4,4,4,4
Yes,Male,10,3,6,10,1.5,0,15,7,3,6,6,7,1,5,3,3,3,6,2,3.75
Yes,Female,10,6,6,6,0,0,3,4,4,3,2,6,1,4,4,3,2,5,3,3.5
Yes,Female,10,2,7,5,1,2,0,7,5,7,7,7,1,7,7,6,5,7,7,6.25
Yes,Male,10,1,8,3,1,0,2,7,7,6,5,7,1,7,6,6,7,5,6,6
Yes,Male,10,0,7,2,5,12,1,4,4,7,4,7,1,6,5,5,4,4,5,4.5
Yes,Female,10,1,6,3,2,0,5,7,4,4,2,6,6,3,6,5,5,4,6,5
Yes,Male,10,3,10,2,1,0,3,7,3,6,4,4,1,2,4,5,5,4,5,4.5
Yes,Male,10,4,7,1,2,0,5,7,3,6,4,2,1,1,4,3,3,5,5,3.75
Yes,Male,10,1,8,1,5,0,0,4,4,6,6,6,1,3,6,4,2,6,5,4.5
Yes,Male,9,10,5,6,2,4,4,5,7,3,2,7,1,2,4,4,2,7,3,4.25
Yes,Female,11,11,4,5,1,6,7,6,7,2,4,2,1,1,4,3,5,2,3,3.5
Yes,Female,10,1,8,4,5,0,6,7,4,6,3,6,1,4,5,4,5,3,5,4.25
Yes,Female,9,4,6,2,9,0,1,6,1,6,3,4,1,1,4,4,4,5,4,4.25
Yes,Male,11,6,9,0.5,3,16,5,7,4,5,2,7,1,5,6,4,4,3,6,4.25
Yes,Female,11,6,6,2,1,0,10,5,3,7,5,7,7,7,6,6,5,6,5,5.75
Yes,Female,9,4,7,4,2.5,0,10,7,6,4,2,3,1,1,3,2,3,4,3,3
Yes,Male,9,2,7,1,5,0,7,7,4,6,3,5,1,7,6,7,5,6,7,6
Yes,Male,11,4,6,0.5,4,0,11,6,2,5,4,6,1,3,5,5,4,4,5,4.5
Yes,Male,11,6,7,2,2,15,2,4,4,6,6,6,1,6,5,6,5,5,6,5.25
Yes,Male,10,0,5,2,5,0,3,6,4,5,6,6,1,3,3,3,3,5,5,3.5
Yes,Male,12,3,6,2,8,0,0,4,3,2,3,6,7,3,6,4,5,3,6,4.5
Yes,Male,9,2,5,2,5,0,4,5,4,6,6,6,1,4,5,5,3,6,6,4.75
Yes,Male,9,0,8,0,5,0,5,7,1,4,5,7,1,7,6,7,5,7,6,6.25
Yes,Male,10,4,6,0.5,3,0,12,6,4,3,5,5,7,2,4,3,3,6,4,4
Yes,Female,10,3,6,5,4,0,15,4,3,6,6,5,1,1,3,2,1,4,3,2.5
Yes,Female,11,7,5,5,1,0,8,6,5,5,5,7,1,6,5,5,4,4,3,4.5
Yes,Male,11,0,7,0.5,7,0,0,7,2,3,3,2,6,3,3,1,3,2,3,2.25
Yes,Male,11,2,6,0,5,0,5,6,1,6,6,1,1,1,1,1,1,4,1,1.75
Yes,Female,12,2,6,3.5,2,0,9,6,1,4,4,3,1,6,4,4,3,5,5,4
Yes,Female,9,5,6,4,4,17,2,7,7,7,3,7,1,7,4,5,5,1,3,3.75
Yes,Male,10,0,8,2,5,10,3,5,2,5,4,6,1,3,3,2,2,4,2,2.75
Yes,Male,12,4,6,1.5,4,6,18,6,5,5,6,7,6,7,6,5,5,4,5,5
Yes,Female,11,6,7.5,4,3,0,16,6,2,2,5,6,6,3,3,3,5,2,4,3.25
Yes,Female,10,5,5,4,1,0,10,3,3,2,3,2,1,2,4,4,3,3,4,3.5
Yes,Male,11,7,7,2,5,0,5,5,2,2,4,5,4,5,3,4,4,2,3,3.25
Yes,Male,11,8,5,7,1,50,20,6,6,6,5,7,6,6,6,6,6,6,5,6
Yes,Female,12,6,6,6,2,0,4,5,1,5,4,7,1,5,5,4,1,5,5,3.75
Yes,Male,11,4,7,2,4,10,5,5,6,6,4,5,1,4,4,5,7,4,4,5
Yes,Female,12,5,7,3,1,0,3,4,2,5,3,4,1,2,3,3,2,5,3,3.25
Yes,Male,12,7,7,2,3.5,0,8,6,4,4,6,6,1,5,6,5,4,7,6,5.5
Yes,Male,12,5,7,2,3,10,0,4,2,6,3,6,4,6,3,3,3,2,3,2.75
Yes,Female,12,6,7,1,6,0,0,4,4,2,2,6,7,5,5,4,5,3,5,4.25
Yes,Male,11,0,7,3,4,0,2,6,2,4,4,5,2,4,5,4,3,5,5,4.25
Yes,Male,12,0,7,1.5,8,0,0,4,1,6,6,7,1,6,5,4,5,5,6,4.75
Yes,Male,10,3,6.5,4,2,0,8,7,5,4,3,5,1,6,5,6,5,6,5,5.5
Yes,Female,10,5,7,5,1,3,7,5,3,4,3,5,1,1,2,7,2,4,2,3.75
Yes,Female,10,2,7,1,1,0,10,7,4,7,5,7,1,7,6,6,7,7,6,6.5
Yes,Female,10,5,6,3.5,2.5,0,12,7,6,4,2,6,1,4,4,4,6,4,5,4.5
Yes,Female,10,3,6.5,3,2,2,4,6,6,7,4,7,1,5,7,7,7,4,6,6.25
Yes,Female,10,1,7,3,5,0,3,4,1,6,4,6,1,4,4,4,3,5,4,4
Yes,Male,10,0,3,1,6,0,1,2,5,4,1,6,3,2,3,2,5,6,2,4
Yes,Male,10,1,6,0,10,0,1,7,2,5,6,5,1,1,4,2,3,2,3,2.75
Yes,Male,10,2,6,2,3,0,10,6,4,5,4,5,1,2,5,5,4,5,5,4.75
Yes,Female,10,3,6,3,3,9,9,6,4,4,5,4,1,2,4,3,4,5,2,4
Yes,Male,10,5,6,0,3,0,14,7,1,6,4,6,1,7,6,7,5,6,7,6
Yes,Male,10,0,0,0,0,0,0,4,4,4,4,4,4,4,2,4,5,5,3,4
Yes,Male,10,2,8,1,1,10,10,1,2,3,3,4,3,4,7,6,7,6,7,6.5
Yes,Female,10,2,6,5,1,0,2,5,6,5,4,7,1,4,5,4,5,5,5,4.75
Yes,Female,10,1,7,3.5,1.5,0,0.5,4,2,5,3,6,1,4,5,4,4,4,6,4.25
Yes,Male,10,3,7,3,3,0,3,6,5,6,3,6,1,5,6,4,6,2,6,4.5
Yes,Male,10,0,7,1,1,7,18,3,7,6,6,6,7,6,5,5,7,5,7,5.5
Yes,Female,10,4,7,5,1,1,0,5,6,7,7,7,1,7,7,7,4,4,5,5.5
Yes,Female,10,2,8,1,4,0,10,6,5,7,2,5,1,4,6,5,5,5,6,5.25
Yes,Female,10,0,4.5,2,3,10,0,7,2,3,4,1,1,3,4,3,4,4,4,3.75
Yes,Male,10,0,7,1.5,4,0,2,6,5,7,4,6,1,6,6,6,5,6,6,5.75
Yes,Male,12,5,6,1.5,2.5,3,1,5,5,6,3,6,1,6,6,6,6,2,5,5
Yes,Male,12,8,8,2,3,0,8,7,7,7,4,7,6,6,7,6,3,7,7,5.75
Yes,Male,12,4,7,0.5,5,0,4,7,5,5,3,7,1,5,6,5,7,6,7,6
Yes,Male,12,2,7,3,2,10,7,7,3,7,5,7,1,7,6,6,6,7,7,6.25
Yes,Male,12,6,7,0.5,8,0,2,6,2,5,7,7,1,7,7,7,5,7,7,6.5
Yes,Male,12,7,5.5,6,2,0,20,7,5,7,2,6,1,2,6,6,4,7,6,5.75
Yes,Male,12,5,8.5,1,7,0,15,5,3,5,4,6,1,3,5,4,3,3,4,3.75
Yes,Male,12,3,7,3,3,0,10,6,3,7,5,5,1,6,6,4,5,5,6,5
Yes,Male,12,3,8,0.5,5,5,20,6,2,6,3,7,1,5,5,5,3,2,5,3.75
Yes,Male,12,6,8,2,1,25,15,7,3,7,3,7,1,6,5,4,3,3,5,3.75
Yes,Male,11,2,6,1,5,0,4,7,5,6,3,6,1,6,6,7,5,6,6,6
Yes,Male,11,0,7.5,1.5,5,0,0,1,4,6,6,4,1,3,5,5,3,5,5,4.5
Yes,Male,11,4,7,3,2,8,9,4,2,6,4,5,1,3,5,6,6,4,4,5.25
Yes,Female,11,6,8,2,3,1,10,6,3,5,3,5,1,4,5,6,3,5,5,4.75
Yes,Female,11,6,4,5,1,0,2,5,1,7,3,6,1,7,5,5,3,5,4,4.5
Yes,Female,11,4,6,1,2,15,0,4,2,7,5,3,1,2,5,5,3,3,3,4
Yes,Female,12,4,8,3,1.5,4,6,7,6,7,3,7,1,6,6,7,6,6,5,6.25
Yes,Female,10,4,6,2,2,2,4,5,7,2,5,7,1,5,5,6,4,5,6,5
Yes,Male,12,3,7,1,3,7,4,5,4,4,2,6,3,5,6,7,7,6,5,6.5
Yes,Male,11,3,7,1,4,30,1,4,2,7,6,2,1,1,4,2,3,5,3,3.5
Yes,Female,10,1,7,2,3,0,18,6,5,6,5,6,1,7,6,6,4,4,6,5
Yes,Female,11,6,5,2,4,0,4,4,3,2,1,7,1,4,5,5,5,4,4,4.75
Yes,Female,11,4,7.5,0.5,8,15,1,7,5,7,6,5,1,5,6,6,6,6,7,6
Yes,Female,11,8,7,4,1,1,7,6,5,4,3,4,1,3,5,4,3,5,5,4.25
Yes,Female,10,1,5,3,0,0,20,5,4,6,4,7,2,5,5,4,5,2,4,4
Yes,Male,12,0,7.5,0.3,1.5,24.5,1,3,4,6,2,7,1,2,4,2,3,5,3,3.5
Yes,Male,10,1,5.5,2,1,0,3,5,4,6,4,7,1,3,4,4,4,4,3,4
Yes,Male,12,2,8,0,9,30,0,7,1,5,6,4,1,3,4,4,2,2,4,3
Yes,Male,9,6,9,1,6,9,3,4,7,5,2,7,1,5,5,7,4,4,6,5
Yes,Female,11,0,7,1,4,0,0,4,1,4,7,6,7,3,4,4,4,3,6,3.75
Yes,Male,10,1,5,2,2,0,28,6,1,7,7,4,1,1,4,5,4,4,4,4.25
Yes,Male,9,3,8,5,0,0,1.5,7,7,7,4,1,1,3,6,4,7,7,4,6
Yes,Female,12,4,6,2,3,12,0,5,2,3,3,3,1,1,2,2,3,2,2,2.25
Yes,Male,11,2,9,0.5,3,0,13,7,3,6,6,6,1,7,6,7,5,2,6,5
Yes,Male,10,4,6,4,1,17,13,7,3,2,2,4,1,7,2,1,2,5,2,2.5
Yes,Male,10,3,6,2,4,0,22,7,5,6,2,4,1,6,7,5,7,7,3,6.5
Yes,Male,11,6,7,2,3,0,10,6,6,6,2,6,1,6,7,7,7,1,6,5.5
Yes,Male,9,6,9,2.5,3,0,8,6,5,7,6,7,1,7,6,4,5,5,6,5
Yes,Male,11,4,7,2,3,7,16,6,2,7,3,6,1,3,6,4,5,2,6,4.25
Yes,Male,11,5,5,5,2,0,2,6,3,5,4,5,5,4,5,4,2,4,4,3.75
Yes,Male,9,6,7,1,2,0,7,5,6,6,6,6,7,6,6,4,1,3,5,3.5
Yes,Female,9,1,6,3,1,9,10,6,7,6,2,6,1,6,2,5,5,2,5,3.5
Yes,Female,11,5,7,5,1,4,12,7,7,7,5,7,7,7,7,6,7,7,6,6.75
Yes,Female,10,2,6,3,1,0,7.5,2,7,5,4,7,1,5,6,5,3,7,4,5.25
Yes,Female,9,4,6,4,3,8,2,6,1,1,1,6,1,2,2,2,2,6,4,3
Yes,Female,12,7,4.7,7,1,0,4,6,2,5,2,5,1,2,2,2,1,2,2,1.75
Yes,Male,9,9,7,4,5,15,20,7,5,7,4,7,6,5,6,4,5,2,5,4.25
Yes,Male,12,2,7,1,3,15,1,5,1,4,3,6,1,5,5,5,6,6,6,5.5
Yes,Female,9,3,6,1.5,4.5,0,0,4,6,6,1,3,1,3,5,6,5,6,5,5.5
Yes,Male,12,6,5,4,8,0,3,7,4,3,3,7,1,3,4,5,6,5,3,5
Yes,Female,12,2,6,3,7,2,2,7,1,1,3,1,7,1,4,4,4,5,3,4.25
Yes,Male,9,4,9,1,4,7,2,6,7,5,2,7,1,3,6,7,6,3,7,5.5
Yes,Male,9,6,5,2,1,0,12,6,3,6,4,7,7,3,5,5,2,5,3,4.25
Yes,Male,9,0,4.5,0,7,5,1,3,5,1,7,1,1,1,1,1,3,3,1,2
Yes,Male,11,1,9,2,2,0,2,5,2,4,5,4,1,4,5,5,5,2,6,4.25
Yes,Male,12,6,5,2,1,0,20,4,5,3,4,5,1,2,3,2,3,2,3,2.5
Yes,Male,11,1,5.5,2,5.5,0,0,4,3,5,5,4,1,3,4,3,4,4,3,3.75
Yes,Female,9,3,6.5,4,3,0,8,7,5,2,1,5,6,3,5,4,4,5,5,4.5
Yes,Male,10,5,5.5,2,1,0,7,5,5,6,3,5,1,2,4,3,3,2,3,3
Yes,Male,11,4,9,0,0,6,9,7,3,3,4,6,3,1,4,5,5,4,3,4.5
Yes,Male,11,3,8,0,7,0,2,7,1,6,3,4,1,7,5,5,4,4,6,4.5
Yes,Male,10,2,9,1,4,0,0,1,5,5,2,3,4,3,3,3,3,6,4,3.75
Yes,Female,9,0,6,2,6,8,1,2,1,1,1,4,1,1,3,1,1,7,1,3
Yes,Male,12,2,7.5,1,4,4,1,6,6,5,6,6,1,5,6,7,6,3,5,5.5
Yes,Male,12,0,8,5,5,11,5,7,1,2,2,2,1,1,3,2,3,2,3,2.5
Yes,Male,12,3,8,1.5,5,0,0,4,2,6,5,6,1,2,3,6,5,4,5,4.5
Yes,Male,9,1,6,0,13,20,0,1,3,4,4,1,1,1,1,1,1,4,3,1.75
Yes,Male,12,2,7.5,2,4,4,1,6,6,6,6,7,1,4,6,7,7,6,6,6.5
Yes,Female,12,5,5,2,2,14,6,6,2,5,7,4,7,2,5,5,4,5,3,4.75
Yes,Female,12,1,7,3,5,0,10,6,1,4,6,5,1,4,4,4,3,5,5,4
Yes,Male,9,2,6,0,4,9,0,1,2,4,3,7,1,3,2,2,1,1,3,1.5
Yes,Male,10,2,3.75,0,4,20,2,6,3,4,3,5,6,2,3,3,1,4,3,2.75
Yes,Male,10,0,7,1.7,10,9,5,6,1,7,6,1,1,1,3,2,4,4,3,3.25
Yes,Female,10,1,8,3,11,0,1,6,1,5,3,1,1,7,6,5,5,7,6,5.75
Yes,Male,11,0,8,0,5,14,0,1,4,1,1,1,1,7,7,7,7,7,6,7
Yes,Female,9,1,6,3,1,0,13,7,7,6,1,6,1,5,5,5,5,5,7,5
Yes,Male,11,2,9,0.5,3,0,15,7,4,6,7,5,1,6,6,6,4,2,6,4.5
Yes,Male,11,5,6,2,2,0,18,7,6,5,3,6,1,4,5,6,6,6,4,5.75
Yes,Female,11,2,7,4,4,0,0,6,4,5,4,7,1,5,6,5,5,6,6,5.5
Yes,Female,11,2,6,6,2,0,5,6,3,4,4,6,1,1,2,2,1,1,3,1.5
Yes,Female,10,3,6,2,4,0,6,5,2,4,3,5,1,3,2,2,1,3,3,2
Yes,Male,9,2,7.5,2,3,0,15,5,2,6,3,7,1,5,3,4,3,3,3,3.25
Yes,Female,9,5,6,3,2,0,12,5,3,6,5,6,1,2,3,4,1,2,3,2.5
Yes,Female,9,2,5,3,1,1,10,2,1,3,1,1,1,1,2,1,1,2,1,1.5
Yes,Male,9,3,6.5,1,2,0,3,5,3,6,4,6,1,4,4,3,5,2,5,3.5
Yes,Female,9,2,6,2,3,0,6,6,2,6,4,6,1,2,2,1,2,1,2,1.5
Yes,Male,9,3,7,2,1,18,6,6,5,3,2,4,1,3,3,3,3,5,3,3.5
Yes,Female,9,2,7,4,1,28,3,7,7,6,5,7,1,4,6,6,6,6,4,6
Yes,Male,10,4,5,4,7,0,9,7,2,3,6,3,1,3,2,1,1,7,2,2.75
Yes,Female,12,3,7,0,5,20,0,4,3,5,3,4,1,3,5,4,4,6,4,4.75
Yes,Female,10,2,8,4,3,6,6,6,3,6,4,5,1,4,4,4,3,3,4,3.5
Yes,Female,9,1,5.5,4.5,0.5,0,8,6,3,5,2,5,1,2,4,3,3,3,5,3.25
Yes,Female,9,4,6,2,1,0,10,7,5,6,3,7,1,6,5,5,4,5,6,4.75
Yes,Female,10,3,7,4,2,0,14,7,5,4,3,5,1,3,5,4,6,4,4,4.75
Yes,Female,10,6,7,4,2,0,7,5,1,6,4,7,1,5,3,3,4,3,4,3.25
Yes,Female,11,4,6,2,1,0,20,7,6,6,2,4,1,2,7,7,5,3,4,5.5
Yes,Female,12,4,8,2,2,20,20,7,3,5,5,5,6,3,5,5,3,5,5,4.5
Yes,Female,11,4,6,8,4,4,2,4,4,4,4,4,4,4,3,4,3,4,4,3.5
Yes,Female,9,3,5,4,3,0,10,7,6,7,6,7,5,6,6,5,3,1,5,3.75
